"fitted","normalized_residual","dataset_id","condition","model"
-0.00686113026380833,0.478103219132132,"D020","C4","gradient_boosted_trees"
0.0689018915697795,-1.35527281138215,"D020","C5","gradient_boosted_trees"
0.0713109331872136,-1.15536526058667,"D020","C5","gradient_boosted_trees"
0.00429222698675749,0.073234981504624,"D020","C2","logistic_regression"
0.00100217649806827,0.0870402635762365,"D020","C2","logistic_regression"
-0.00714114709584398,0.102216649303315,"D020","C3","logistic_regression"
-0.00822262397499362,0.248644529024511,"D020","C3","logistic_regression"
0.0038870784425392,-0.152644421221796,"D020","C4","logistic_regression"
-0.00121578985650788,-0.0070810134074997,"D020","C4","logistic_regression"
0.0187043750141904,-0.209457560968559,"D020","C5","logistic_regression"
0.0211134166316245,-0.00261826529000438,"D020","C5","logistic_regression"
0.000716661094038258,0.201089286971174,"D020","C2","random_forest"
-0.00257338939465096,-0.0472994201263835,"D020","C2","random_forest"
-0.0126401470717389,0.563066619223596,"D020","C3","random_forest"
-0.0137216239508885,0.503048242612148,"D020","C3","random_forest"
-0.00561217391336089,0.0125495166215748,"D020","C4","random_forest"
-0.010715042212408,0.236249370427478,"D020","C4","random_forest"
0.0577725161303036,-1.12544564355623,"D020","C5","random_forest"
0.0601815577477377,-1.40059931138767,"D020","C5","random_forest"
