dataset_id,dataset_name,model,condition,delta_AUROC,sample_fraction,analysis_rows,analysis_predictors,minority_count,missing_predictor_cells,rows_in_analysis_frame,display_index,minority_prevalence,missingness_rate,feature_to_sample_ratio,log_sample_size,log_feature_to_sample_ratio,z_log_sample_size,z_log_feature_to_sample_ratio,z_minority_prevalence,z_missingness_rate
D002,Chronic Kidney Disease,gradient_boosted_trees,C3,0.0004006913784327,0.75,400,24,150,1012,300.0,Dataset 02,0.375,0.10541666666666667,0.08,5.703782474656201,-2.5257286443082556,-0.7655284343642131,0.9895464696071742,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,gradient_boosted_trees,C3,-0.0005073990351038,1.0,400,24,150,1012,400.0,Dataset 02,0.375,0.10541666666666667,0.06,5.991464547107982,-2.8134107167600364,-0.23861639400994764,0.6479885502803712,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,gradient_boosted_trees,C4,0.0001494193447434,0.5,400,24,150,1012,200.0,Dataset 02,0.375,0.10541666666666667,0.12,5.298317366548036,-2.120263536200091,-1.5081692447037085,1.4709453190549606,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,gradient_boosted_trees,C4,-0.0022243158316603,0.75,400,24,150,1012,300.0,Dataset 02,0.375,0.10541666666666667,0.08,5.703782474656201,-2.5257286443082556,-0.7655284343642131,0.9895464696071742,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,gradient_boosted_trees,C4,-0.000773880492594,1.0,400,24,150,1012,400.0,Dataset 02,0.375,0.10541666666666667,0.06,5.991464547107982,-2.8134107167600364,-0.23861639400994764,0.6479885502803712,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,gradient_boosted_trees,C5,0.0008074935400516,0.5,400,24,150,1012,200.0,Dataset 02,0.375,0.10541666666666667,0.12,5.298317366548036,-2.120263536200091,-1.5081692447037085,1.4709453190549606,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,gradient_boosted_trees,C5,0.0011335295931841,0.75,400,24,150,1012,300.0,Dataset 02,0.375,0.10541666666666667,0.08,5.703782474656201,-2.5257286443082556,-0.7655284343642131,0.9895464696071742,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,gradient_boosted_trees,C5,0.000527130885231,1.0,400,24,150,1012,400.0,Dataset 02,0.375,0.10541666666666667,0.06,5.991464547107982,-2.8134107167600364,-0.23861639400994764,0.6479885502803712,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,logistic_regression,C2,-0.0001061120543294,0.5,400,24,150,1012,200.0,Dataset 02,0.375,0.10541666666666667,0.12,5.298317366548036,-2.120263536200091,-1.5081692447037085,1.4709453190549606,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,logistic_regression,C2,0.0002430439460122,0.75,400,24,150,1012,300.0,Dataset 02,0.375,0.10541666666666667,0.08,5.703782474656201,-2.5257286443082556,-0.7655284343642131,0.9895464696071742,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,logistic_regression,C2,3.785639834419374e-05,1.0,400,24,150,1012,400.0,Dataset 02,0.375,0.10541666666666667,0.06,5.991464547107982,-2.8134107167600364,-0.23861639400994764,0.6479885502803712,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,logistic_regression,C3,-0.0004693370386567,0.5,400,24,150,1012,200.0,Dataset 02,0.375,0.10541666666666667,0.12,5.298317366548036,-2.120263536200091,-1.5081692447037085,1.4709453190549606,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,logistic_regression,C3,0.0003029358791244,0.75,400,24,150,1012,300.0,Dataset 02,0.375,0.10541666666666667,0.08,5.703782474656201,-2.5257286443082556,-0.7655284343642131,0.9895464696071742,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,logistic_regression,C3,-4.0859349101585174e-05,1.0,400,24,150,1012,400.0,Dataset 02,0.375,0.10541666666666667,0.06,5.991464547107982,-2.8134107167600364,-0.23861639400994764,0.6479885502803712,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,logistic_regression,C4,-0.0008524277141298,0.5,400,24,150,1012,200.0,Dataset 02,0.375,0.10541666666666667,0.12,5.298317366548036,-2.120263536200091,-1.5081692447037085,1.4709453190549606,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,logistic_regression,C4,0.0004431216931216,0.75,400,24,150,1012,300.0,Dataset 02,0.375,0.10541666666666667,0.08,5.703782474656201,-2.5257286443082556,-0.7655284343642131,0.9895464696071742,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,logistic_regression,C4,-0.0003980166175288,1.0,400,24,150,1012,400.0,Dataset 02,0.375,0.10541666666666667,0.06,5.991464547107982,-2.8134107167600364,-0.23861639400994764,0.6479885502803712,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,logistic_regression,C5,-0.0004900003991856,0.5,400,24,150,1012,200.0,Dataset 02,0.375,0.10541666666666667,0.12,5.298317366548036,-2.120263536200091,-1.5081692447037085,1.4709453190549606,0.5243659897368481,1.8882966566072075
